ccn,hospital_name,address,teléfono,municipality,province,autonomous_community,postal_code,beds,cod_clase_de_centro,center_type,cod_dep_funcional,management_type,forma_parte_complejo,codidcom,nombre_del_complejo,alta,email
114000535,hospital valle de los pedroches,calle juan del rey calero s/n,957026306,pozoblanco,córdoba,andalucía,14400,142,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,140285,Hospital Valle de Los Pedroches,N,
114001301,hospital de alta resolución  de puente genil,calle burgos s/n,957615000,puente genil,córdoba,andalucía,14500,24,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,140274,Hospital Infanta Margarita,N,
1215000176,hm modelo-belén,calle virrey osorio 30,981147300,"coruña, a",a coruña,galicia,15011,146,C11,hospitales generales,20,privados,N,0,Independent,N,iarias@hmhospitales.com
1215000173,centro oncoloxico de galicia,calle doctor camilo veiras 1,981287499,"coruña, a",a coruña,galicia,15009,56,C12,hospitales especializados,20,privados,N,0,Independent,N,contacto@cog.es
1215000175,hospital san rafael,lugar jubias de arriba 82,981179000,"coruña, a",a coruña,galicia,15006,120,C11,hospitales generales,20,privados,N,0,Independent,N,ade@imqsanrafael.es
1215000174,hospital quironsalud a coruña,calle londres 2,981219800,"coruña, a",a coruña,galicia,15009,127,C11,hospitales generales,20,privados,N,0,Independent,N,info.acoruna@quironsalud.es
1215000172,complexo hospitalario universitario a coruña,lugar jubias de arriba 84,981178000,"coruña, a",a coruña,galicia,15006,1365,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
1215000178,hospital ribera juan cardona,calle pardo bazán s/n,981312500,ferrol,a coruña,galicia,15406,150,C11,hospitales generales,20,privados,N,0,Independent,N,info@hjcardona.org
1215000177,complexo hospitalario universitario de ferrol,avenida residencia s/n,981334000,ferrol,a coruña,galicia,15405,469,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
1215000169,hestia la robleda,lugar santiso s/n,981585811,"pino, o",a coruña,galicia,15821,96,C14,hospitales de salud mental y tratamiento de toxicomanías,20,privados,N,0,Independent,N,
1215000182,hospital publico da barbanza,lugar salmon s/n,981835985,ribeira,a coruña,galicia,15993,82,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
1215000181,hospital hm rosaleda-hm la esperanza,calle santiago leon de caracas (de) 1,981551200;981551225,santiago de compostela,a coruña,galicia,15701,119,C11,hospitales generales,20,privados,N,0,Independent,N,secretaria.direccion.hmgr@hmhospitales.com
1215000179,complexo hospitalario universitario de santiago,calle choupana (da) s/n,981950000,santiago de compostela,a coruña,galicia,15706,1511,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
816000342,"hospital recoletas cuenca, s.l.u.",avenida de san julián 1,969232500,cuenca,cuenca,castilla-la mancha,16003,30,C11,hospitales generales,20,privados,N,0,Independent,N,olga.barrios.aj@gruporecoletas.com
816000170,hospital virgen de la luz,calle hermandad donantes de sangre 1,969179900,cuenca,cuenca,castilla-la mancha,16002,388,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
917000807,clinica salus infirmorum,paseo mossèn lluis constants 130,972570208,banyoles,girona,cataluña,17820,100,C13,hospitales de media y larga estancia,20,privados,N,0,Independent,N,si.direc@teleline.es
917000823,hospital comarcal de blanes,carretera accés cala sant francesc 5,972353264,blanes,girona,cataluña,17300,121,C11,hospitales generales,8,otras entidades u o rganismos públicos,N,0,Independent,N,csselva@conecta.es
917000808,hospital de sant jaume,calle jaume arcelos 1,972331550,blanes,girona,cataluña,17300,23,C13,hospitales de media y larga estancia,8,otras entidades u o rganismos públicos,N,0,Independent,N,salut@salutms.cat
917000809,hospital de campdevanol,carretera de gombrèn 20,972730028,campdevànol,girona,cataluña,17530,80,C11,hospitales generales,20,privados,N,0,Independent,N,gerencia@hoscamp.com
917000810,hospital de figueres,ronda rector aroles s/n,972501400,figueres,girona,cataluña,17600,168,C11,hospitales generales,20,privados,N,0,Independent,N,direccio@hospfig.es
917000827,centre sociosanitari bernat jaume,ronda rector aroles s/n,972501400,figueres,girona,cataluña,17600,121,C13,hospitales de media y larga estancia,20,privados,N,0,Independent,N,hospital@hospitaldefigueres.com
917000811,clinica santa creu,"calle pere iii, 41",972503650,figueres,girona,cataluña,17600,35,C11,hospitales generales,20,privados,N,0,Independent,N,administracio@clinicasantacreu.com
917000825,hospital sociosanitari mutuam girona,avenida frança 64,972171819,girona,girona,cataluña,17007,104,C13,hospitales de media y larga estancia,20,privados,N,0,Independent,N,mutuam@mutuam.com
917000824,residencia geriátrica maria gay,calle portal nou 12,972205045,girona,girona,cataluña,17004,24,C13,hospitales de media y larga estancia,20,privados,N,0,Independent,N,info.mgay@irsjg.org
917000812,clinica bofill,ronda sant antoni maria claret 20,972204350,girona,girona,cataluña,17002,47,C11,hospitales generales,20,privados,N,0,Independent,N,administracio@clinicabofill.net
917000814,clinica girona,calle de barcelona 204,000000000,girona,girona,cataluña,17005,126,C11,hospitales generales,20,privados,N,0,Independent,N,
917000815,clinica quirúrgica onyar,calle heroïnes de santa bàrbara 6,972204900,girona,girona,cataluña,17004,38,C11,hospitales generales,20,privados,N,0,Independent,N,documentalista@giroclinic.com
917000828,institut catalá d'oncologia girona - hospital josep trueta,avenida frança s/n,972940200,girona,girona,cataluña,17007,26,C12,hospitales especializados,8,otras entidades u o rganismos públicos,N,0,Independent,N,ccalle@iconcologia.net
917000822,residencia de gent gran puig d'en roca,calle antoni vares i martinell 37,972209250,girona,girona,cataluña,17007,55,C13,hospitales de media y larga estancia,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,rgg_puigroca.benestar@gencat.cat
917000813,hospital universitari de girona dr. josep trueta,avenida frança s/n,972940200,girona,girona,cataluña,17007,431,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,gerencia@htrueta.scs.es
917000818,hospital sociosanitari de lloret de mar,"calle vall de venecià, 59",972364736,lloret de mar,girona,cataluña,17310,63,C13,hospitales de media y larga estancia,8,otras entidades u o rganismos públicos,N,0,Independent,N,salut@salutms.org
917000819,hospital d'olot i comarcal de la garrotxa,avenida pastós catalans 86,972261800,olot,girona,cataluña,17800,137,C11,hospitales generales,20,privados,N,0,Independent,N,direccio@hospiolot.com
917000830,centre palamós gent gran,calle provença 36,972600160,palamós,girona,cataluña,17230,100,C13,hospitales de media y larga estancia,20,privados,N,0,Independent,N,ncomes@ssibe.cat
917000820,hospital de palamós,calle hospital. 36,972600160,palamós,girona,cataluña,17230,136,C11,hospitales generales,20,privados,N,0,Independent,N,direccio@hosppal.es
917000826,centre sociosanitari de puigcerda,camino antic de llívia s/n,972880150,puigcerdà,girona,cataluña,17520,52,C13,hospitales de media y larga estancia,20,privados,N,0,Independent,N,jcatala@hospitalpuigcerda.com
917001139,hospital de cerdanya / hospital de cerdagne,camino d'ur 31,972114090,puigcerdà,girona,cataluña,17520,66,C11,hospitales generales,8,otras entidades u o rganismos públicos,N,0,Independent,N,dir@hcerdanya.eu
917000816,hospital santa caterina-ias,avenida doctor castany (p. h. marta­ i julià a ) s/n,972182600,salt,girona,cataluña,17190,178,C11,hospitales generales,8,otras entidades u o rganismos públicos,N,0,Independent,N,gerencia@ias.scs.es
917000829,centre sociosanitari parc hospitalari martí i julia,calle dr. castany s/n,972182512,salt,girona,cataluña,17190,120,C13,hospitales de media y larga estancia,8,otras entidades u o rganismos públicos,N,0,Independent,N,atenciousuari@ias.scs.es
917000817,hospital psiquiatric,"calle doctor castany, s/n",972182512,salt,girona,cataluña,17190,593,C14,hospitales de salud mental y tratamiento de toxicomanías,8,otras entidades u o rganismos públicos,N,0,Independent,N,atenciousuari@ias.scs.es
118000554,hospital de baza,"carretera murcia, km. 1,6 s/n",958031303,baza,granada,andalucía,18800,117,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
118000563,hospital san rafael,calle san juan de dios 19-23,958275700,granada,granada,andalucía,18001,166,C11,hospitales generales,20,privados,N,0,Independent,N,centrosanrafael@sjd.es
118004282,hospital vithas granada,avenida santa maría de la alhambra s/n,958001450,granada,granada,andalucía,18008,77,C11,hospitales generales,20,privados,N,0,Independent,N,torresm@vithas.es
118000553,hospital de la inmaculada concepción,calle doctor alejandro otero 8,958187712,granada,granada,andalucía,18004,95,C11,hospitales generales,20,privados,N,0,Independent,N,informacion@hospital-inmaculada.es
118004562,hospital universitario clínico san cecilio,avenida de la investigación s/n,958021702,granada,granada,andalucía,18016,543,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,180177,Hospital Universitario Clínico San Cecilio,N,
118004856,hospital  de neurotraumatología y rehabilitación del h.u. virgen de las nieves,carretera de jaén s/n,958020000,granada,granada,andalucía,18013,241,C12,hospitales especializados,2,servicios e institutos de salud de las comunidades autónomas,S,180188,Hospital Universitario Virgen de Las Nieves,N,
118000560,hospital materno-infantil del h.u. virgen de las nieves,avenida de las fuerzas armadas 2,000000000,granada,granada,andalucía,18014,230,C12,hospitales especializados,2,servicios e institutos de salud de las comunidades autónomas,S,180188,Hospital Universitario Virgen de Las Nieves,N,jlsalce@hvn.sas.junta-andalucia.es
118000556,hospital universitario virgen de las nieves,avenida de las fuerzas armadas 2,958000203,granada,granada,andalucía,18014,844,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,180188,Hospital Universitario Virgen de Las Nieves,N,direcciongerencia.hvn.sspa@juntadeandalu
118004857,hospital doctor oloriz,avenida dr. oloriz 16,958023000,granada,granada,andalucía,18012,50,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,180188,Hospital Universitario Virgen de Las Nieves,N,
118001566,hospital de alta resolución de  guadix,avenida mariana pineda s/n,958699136,guadix,granada,andalucía,18500,50,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,180188,Hospital Universitario Virgen de Las Nieves,N,sugerencias@ephpo.es
118004203,hospital de alta resolución de loja,avenida tierno galván s/n,958338150,loja,granada,andalucía,18300,22,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,180177,Hospital Universitario Clínico San Cecilio,N,
118000562,hospital santa ana,avenida enrique martin cuevas s/n,958038200,motril,granada,andalucía,18600,184,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,francisco.perez.saez.sspa@juntadeandaluc
819000193,clínica doctor sanz vázquez,paseo doctor fernández iparraguirre 6,949227200,guadalajara,guadalajara,castilla-la mancha,19001,40,C11,hospitales generales,20,privados,N,0,Independent,N,daniel.fernandezsalinas@grupohla.com
819000025,clínica la antigua,calle constitución 18,949223600,guadalajara,guadalajara,castilla-la mancha,19003,63,C11,hospitales generales,20,privados,N,0,Independent,N,
819000010,instituto de enfermedades neurológicas de castilla-la mancha,paseo de la estación 2,949211500,guadalajara,guadalajara,castilla-la mancha,19004,147,C13,hospitales de media y larga estancia,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
819000009,hospital universitario de guadalajara,avenida donantes de sangre s/n,949209200,guadalajara,guadalajara,castilla-la mancha,19002,496,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
819000180,u.r.r. de enfermos psíquicos alcohete,paseo conde romanones s/n s/n,949291136,yebes,guadalajara,castilla-la mancha,19141,165,C14,hospitales de salud mental y tratamiento de toxicomanías,4,otros centros o establecimientos públicos de dependencia autonómica,N,0,Independent,N,mvpchaves@jccm.es
1620000015,hospital psiquiátrico san juan de dios,calle gesalibar ( au/ba ) 14,943793078;943793900,arrasate/mondragón,guipúzcoa,país vasco,20509,276,C14,hospitales de salud mental y tratamiento de toxicomanías,22,organizaciones no gubernamentales,N,0,Independent,N,mondragon.hospital@hsjd.es
1620000014,hospital aita menni,calle gesalibar 15,943794411,arrasate/mondragón,guipúzcoa,país vasco,20509,437,C14,hospitales de salud mental y tratamiento de toxicomanías,22,organizaciones no gubernamentales,N,0,Independent,N,hospital@aita-menni.org
1620000007,organización sanitaria integrada debagoiena,"avenida nafarroa, avenida/etorbidea 16",943035300,arrasate/mondragón,guipúzcoa,país vasco,20500,95,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,direccion.haltodeba@osakidetza.eus
1620000013,hospital san juan de dios donostia,calle camino san juan de dios 12,943460033,donostia/san sebastián,guipúzcoa,país vasco,20009,81,C14,hospitales de salud mental y tratamiento de toxicomanías,22,organizaciones no gubernamentales,N,0,Independent,N,ss.hospital@hsjd.es
1620000001,mutualia clínica pakea,paseo arriola 26,902540250,donostia/san sebastián,guipúzcoa,país vasco,20018,19,C12,hospitales especializados,21,mútuas colaboradoras con la seguridad social,N,0,Independent,N,clinicapakea@mutualia.es
1620000011,fundación onkologikoa fundazioa,paseo doctor begiristain 121,943328000,donostia/san sebastián,guipúzcoa,país vasco,20014,26,C12,hospitales especializados,20,privados,N,0,Independent,N,kvicario@onkologikoa.org
1620000002,policlínica gipuzkoa,paseo miramón 174,943309550,donostia/san sebastián,guipúzcoa,país vasco,20014,149,C11,hospitales generales,20,privados,N,0,Independent,N,sonia.roussel@quironsalud.es
1620000012,hospital ricardo bermingham,"camino los pinos, camino/bidea 35",943317102,donostia/san sebastián,guipúzcoa,país vasco,20018,123,C13,hospitales de media y larga estancia,20,privados,N,0,Independent,N,elena.fernandez@matiafundazioa.net
1620000010,hospital universitario donostia,"paseo doctor begiristain, paseo/pasealekua 109",943007060,donostia/san sebastián,guipúzcoa,país vasco,20014,1034,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,osid.gerentzia@osakidetza.eus
1620000005,hospital bidasoa (osi bidasoa),"calle finca zubieta, barrio mendelu s/n",943007703,hondarribia,guipúzcoa,país vasco,20280,96,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,osintegradabidasoa@osakidetza.net
1620000006,hospital de mendaro (osi bajo deba),calle mendarozabal s/n,943032800,mendaro,guipúzcoa,país vasco,20850,111,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,secretariadireccion.osidebabarrena@osakidetza.eus
1620000008,"clínica santa maría de la asunción (inviza, s. a.)",calle carretera izaskun 9,943697000,tolosa,guipúzcoa,país vasco,20400,120,C11,hospitales generales,20,privados,N,0,Independent,N,info@clinicadelaasuncion.com
1620000016,"sanatorio usurbil, s. l.","barrio urdaiaga, barrio/auzoa 48",0;943361124,usurbil,guipúzcoa,país vasco,20170,80,C14,hospitales de salud mental y tratamiento de toxicomanías,20,privados,N,0,Independent,N,aolano@sanatoriodeusurbil.com
1620000009,hospital de zumarraga (osi goierri - alto urola),"grupo argixao, grupo/taldea s/n",943035000;943035027,zumárraga,guipúzcoa,país vasco,20700,118,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,secretaria.hospitalzumarraga@osakidetza.eus
121001251,hospital quironsalud huelva,calle punta umbría 8,959242100,huelva,huelva,andalucía,21002,56,C11,hospitales generales,20,privados,N,0,Independent,N,correo@hospitalcostadelaluz.com
121000151,clínica los naranjos,paseo de los naranjos 1,959243900,huelva,huelva,andalucía,21004,34,C11,hospitales generales,20,privados,N,0,Independent,N,luisa.silvan@grupohla.com
121000146,hospital infanta elena,calle dr. pedro naranjo rodríguez s/n,959015132,huelva,huelva,andalucía,21007,304,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,direccion.hie.sspa@juntadeandalucia.es
121000147,hospital universitario juan ramón jiménez,ronda exterior norte s/n,959016000,huelva,huelva,andalucía,21005,587,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,210101,Hospital Universitario Juan Ramón Jiménez,N,dirmed.hjrj.sspa@juntadeandalucia.es
121000149,hospital vázquez  díaz,carretera sevilla-huelva s/n,959014603,huelva,huelva,andalucía,21005,91,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,210101,Hospital Universitario Juan Ramón Jiménez,N,
121001889,hospital virgen de la bella,"avenida las rosas, s/n s/n",959180550,lepe,huelva,andalucía,21440,61,C11,hospitales generales,20,privados,N,0,Independent,N,mmorales@jmpascual.com
121000150,hospital de riotinto,avenida la esquila 5,959025295,minas de riotinto,huelva,andalucía,21660,118,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,secdireccion.dsa.sspa@juntadeandalucia.e
222000003,hospital de barbastro,carretera nacional 240 s/n,974249000,barbastro,huesca,aragón,22300,170,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,sectorbarbastro@salud.aragon.es
222000030,centro sanitario bajo cinca-baix cinca,calle hermana andresa 2,974474545,fraga,huesca,aragón,22520,20,C190,otros centros con internamiento,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
222000006,hospital viamed santiago,calle sariñena 12,974220600,huesca,huesca,aragón,22004,28,C11,hospitales generales,20,privados,N,0,Independent,N,bnasarre@viamedsantiago.com
222000004,centro de rehabilitación psicosocial santo cristo de los milagros,"carretera arguis km 2,5",974220772,huesca,huesca,aragón,22006,110,C14,hospitales de salud mental y tratamiento de toxicomanías,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
222000002,hospital universitario san jorge,avenida martínez de velasco 36,974247000,huesca,huesca,aragón,22004,297,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,sectorhuesca@salud.aragon.es
222000001,hospital sagrado corazón de jesús,paseo lucas mallada 22,974292000,huesca,huesca,aragón,22006,70,C13,hospitales de media y larga estancia,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,hscjhuesca@salud.aragon.es
222000005,hospital de jaca salud,carretera rapitan s/n,974355331,jaca,huesca,aragón,22700,50,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
123002675,hospital de alta resolución de alcalá la real,avenida de iberoamérica s/n,953599008,alcalá la real,jaén,andalucía,23680,28,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,230119,Hospital Universitario de Jaén,N,gerencia@ephag.es
123000736,hospital de alta resolución de alcaudete,camino viejo de la fuensanta 2,953368211,alcaudete,jaén,andalucía,23660,16,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,230119,Hospital Universitario de Jaén,N,gerencia@ephag.es
123000216,hospital alto guadalquivir,avenida blas infante s/n,953021575,andújar,jaén,andalucía,23740,67,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,gerencia@ephag.es
123003109,centro hospitalario de alta resolución de cazorla,carretera a-319 cazorla-peal del becerro s/n,953028611,cazorla,jaén,andalucía,23470,26,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,230228,Hospital San Juan de La Cruz,N,cesareoj.granados.sspa@juntadeandalucia.es
