ccn,hospital_name,address,phone,municipality,province,autonomous_community,postcode,beds,cod_clase_de_centro,center_type,cod_dep_funcional,management_type,forma_parte_complejo,codidcom,nombre_del_complejo,alta,email
114000530,Hospital Universitario Reina Sofía,Avenida Menéndez Pidal S/N,957010380,Córdoba,Córdoba,Andalucía,14004,607,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140023,Hospital Universitario Reina Sofía,N,gerencia.hrs.sspa@juntadeandalucia.es
114003703,Hospital Palma del Río,Avenida V Califa S/N,000000000,Córdoba,Córdoba,Andalucía,14700,20,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140023,Hospital Universitario Reina Sofía,N,Not Available
114003688,Hospital Centro de Andalucía,Calle Pontevedra 1,000000000,Lucena,Córdoba,Andalucía,14900,196,C11,Hospitales Generales,20,Privados,N,0,Independent,N,Not Available
114000873,Hospital de Montilla,"Carretera Ctra. Montoro-Puente Genil, Km. 65,350 S/N",957022600,Montilla,Córdoba,Andalucía,14550,73,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140274,Hospital Infanta Margarita,N,Not Available
114001599,Hospital de Alta Resolución Valle del Guadiato,Calle Paraje Cerro del Camello S/N,957579100,Peñarroya-Pueblonuevo,Córdoba,Andalucía,14200,17,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140285,Hospital Valle de Los Pedroches,N,hvguadiato.asnc.sspa@juntadeandalucia
114000535,Hospital Valle de Los Pedroches,Calle Juan del Rey Calero S/N,957026306,Pozoblanco,Córdoba,Andalucía,14400,142,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140285,Hospital Valle de Los Pedroches,N,Not Available
114001301,Hospital de Alta Resolución  de Puente Genil,Calle Burgos S/N,957615000,Puente Genil,Córdoba,Andalucía,14500,24,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140274,Hospital Infanta Margarita,N,Not Available
1215000176,Hm Modelo-Belén,Calle Virrey Osorio 30,981147300,"Coruña, A",A Coruña,Galicia,15011,146,C11,Hospitales Generales,20,Privados,N,0,Independent,N,iarias@hmhospitales.com
1215000173,Centro Oncoloxico de Galicia,Calle Doctor Camilo Veiras 1,981287499,"Coruña, A",A Coruña,Galicia,15009,56,C12,Hospitales especializados,20,Privados,N,0,Independent,N,contacto@cog.es
1215000175,Hospital San Rafael,Lugar Jubias de Arriba 82,981179000,"Coruña, A",A Coruña,Galicia,15006,120,C11,Hospitales Generales,20,Privados,N,0,Independent,N,ade@imqsanrafael.es
1215000174,Hospital Quironsalud A Coruña,Calle Londres 2,981219800,"Coruña, A",A Coruña,Galicia,15009,127,C11,Hospitales Generales,20,Privados,N,0,Independent,N,info.acoruna@quironsalud.es
1215000172,Complexo Hospitalario Universitario A Coruña,Lugar Jubias de Arriba 84,981178000,"Coruña, A",A Coruña,Galicia,15006,1365,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
1215000178,Hospital Ribera Juan Cardona,Calle Pardo Bazán S/N,981312500,Ferrol,A Coruña,Galicia,15406,150,C11,Hospitales Generales,20,Privados,N,0,Independent,N,info@hjcardona.org
1215000177,Complexo Hospitalario Universitario de Ferrol,Avenida Residencia S/N,981334000,Ferrol,A Coruña,Galicia,15405,469,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
1215000169,Hestia La Robleda,Lugar Santiso S/N,981585811,"Pino, O",A Coruña,Galicia,15821,96,C14,Hospitales de salud mental y tratamiento de toxicomanías,20,Privados,N,0,Independent,N,Not Available
1215000182,Hospital Publico Da Barbanza,Lugar Salmon S/N,981835985,Ribeira,A Coruña,Galicia,15993,82,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
1215000181,Hospital Hm Rosaleda-Hm La Esperanza,Calle Santiago Leon de Caracas (De) 1,981551200;981551225,Santiago de Compostela,A Coruña,Galicia,15701,119,C11,Hospitales Generales,20,Privados,N,0,Independent,N,secretaria.direccion.hmgr@hmhospitales.com
1215000179,Complexo Hospitalario Universitario de Santiago,Calle Choupana (Da) S/N,981950000,Santiago de Compostela,A Coruña,Galicia,15706,1511,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
816000342,"Hospital Recoletas Cuenca, S.L.U.",Avenida De San Julián 1,969232500,Cuenca,Cuenca,Castilla-La Mancha,16003,30,C11,Hospitales Generales,20,Privados,N,0,Independent,N,olga.barrios.aj@gruporecoletas.com
816000170,Hospital Virgen de La Luz,Calle Hermandad Donantes de Sangre 1,969179900,Cuenca,Cuenca,Castilla-La Mancha,16002,388,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
917000807,Clinica Salus Infirmorum,Paseo Mossèn Lluis Constants 130,972570208,Banyoles,Girona,Cataluña,17820,100,C13,Hospitales de media y larga estancia,20,Privados,N,0,Independent,N,si.direc@teleline.es
917000823,Hospital Comarcal de Blanes,Carretera Accés Cala Sant Francesc 5,972353264,Blanes,Girona,Cataluña,17300,121,C11,Hospitales Generales,8,Otras Entidades u o rganismos Públicos,N,0,Independent,N,csselva@conecta.es
917000808,Hospital de Sant Jaume,Calle Jaume Arcelos 1,972331550,Blanes,Girona,Cataluña,17300,23,C13,Hospitales de media y larga estancia,8,Otras Entidades u o rganismos Públicos,N,0,Independent,N,salut@salutms.cat
917000809,Hospital de Campdevanol,Carretera De Gombrèn 20,972730028,Campdevànol,Girona,Cataluña,17530,80,C11,Hospitales Generales,20,Privados,N,0,Independent,N,gerencia@hoscamp.com
917000810,Hospital de Figueres,Ronda Rector Aroles S/N,972501400,Figueres,Girona,Cataluña,17600,168,C11,Hospitales Generales,20,Privados,N,0,Independent,N,direccio@hospfig.es
917000827,Centre Sociosanitari Bernat Jaume,Ronda Rector Aroles S/N,972501400,Figueres,Girona,Cataluña,17600,121,C13,Hospitales de media y larga estancia,20,Privados,N,0,Independent,N,hospital@hospitaldefigueres.com
917000811,Clinica Santa Creu,"Calle Pere III, 41",972503650,Figueres,Girona,Cataluña,17600,35,C11,Hospitales Generales,20,Privados,N,0,Independent,N,administracio@clinicasantacreu.com
917000825,Hospital Sociosanitari Mutuam Girona,Avenida França 64,972171819,Girona,Girona,Cataluña,17007,104,C13,Hospitales de media y larga estancia,20,Privados,N,0,Independent,N,mutuam@mutuam.com
917000824,Residencia Geriátrica Maria Gay,Calle Portal Nou 12,972205045,Girona,Girona,Cataluña,17004,24,C13,Hospitales de media y larga estancia,20,Privados,N,0,Independent,N,info.mgay@irsjg.org
917000812,Clinica Bofill,Ronda Sant Antoni Maria Claret 20,972204350,Girona,Girona,Cataluña,17002,47,C11,Hospitales Generales,20,Privados,N,0,Independent,N,administracio@clinicabofill.net
917000814,Clinica Girona,Calle De Barcelona 204,000000000,Girona,Girona,Cataluña,17005,126,C11,Hospitales Generales,20,Privados,N,0,Independent,N,Not Available
917000815,Clinica Quirúrgica Onyar,Calle Heroïnes de Santa Bàrbara 6,972204900,Girona,Girona,Cataluña,17004,38,C11,Hospitales Generales,20,Privados,N,0,Independent,N,documentalista@giroclinic.com
917000828,Institut Catalá D'Oncologia Girona - Hospital Josep Trueta,Avenida França S/N,972940200,Girona,Girona,Cataluña,17007,26,C12,Hospitales especializados,8,Otras Entidades u o rganismos Públicos,N,0,Independent,N,ccalle@iconcologia.net
917000822,Residencia de Gent Gran Puig D'En Roca,Calle Antoni Vares I Martinell 37,972209250,Girona,Girona,Cataluña,17007,55,C13,Hospitales de media y larga estancia,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,rgg_puigroca.benestar@gencat.cat
917000813,Hospital Universitari de Girona Dr. Josep Trueta,Avenida França S/N,972940200,Girona,Girona,Cataluña,17007,431,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,gerencia@htrueta.scs.es
917000818,Hospital Sociosanitari de Lloret de Mar,"Calle Vall de Venecià, 59",972364736,Lloret de Mar,Girona,Cataluña,17310,63,C13,Hospitales de media y larga estancia,8,Otras Entidades u o rganismos Públicos,N,0,Independent,N,salut@salutms.org
917000819,Hospital D'Olot I Comarcal de La Garrotxa,Avenida Pastós Catalans 86,972261800,Olot,Girona,Cataluña,17800,137,C11,Hospitales Generales,20,Privados,N,0,Independent,N,direccio@hospiolot.com
917000830,Centre Palamós Gent Gran,Calle Provença 36,972600160,Palamós,Girona,Cataluña,17230,100,C13,Hospitales de media y larga estancia,20,Privados,N,0,Independent,N,ncomes@ssibe.cat
917000820,Hospital de Palamós,Calle Hospital. 36,972600160,Palamós,Girona,Cataluña,17230,136,C11,Hospitales Generales,20,Privados,N,0,Independent,N,direccio@hosppal.es
917000826,Centre Sociosanitari de Puigcerda,Camino Antic de Llívia S/N,972880150,Puigcerdà,Girona,Cataluña,17520,52,C13,Hospitales de media y larga estancia,20,Privados,N,0,Independent,N,jcatala@hospitalpuigcerda.com
917001139,Hospital de Cerdanya / Hospital de Cerdagne,Camino D'Ur 31,972114090,Puigcerdà,Girona,Cataluña,17520,66,C11,Hospitales Generales,8,Otras Entidades u o rganismos Públicos,N,0,Independent,N,dir@hcerdanya.eu
917000816,Hospital Santa Caterina-Ias,Avenida Doctor Castany (P. H. Marta­ I Julià a ) S/N,972182600,Salt,Girona,Cataluña,17190,178,C11,Hospitales Generales,8,Otras Entidades u o rganismos Públicos,N,0,Independent,N,gerencia@ias.scs.es
917000829,Centre Sociosanitari Parc Hospitalari Martí I Julia,Calle Dr. Castany S/N,972182512,Salt,Girona,Cataluña,17190,120,C13,Hospitales de media y larga estancia,8,Otras Entidades u o rganismos Públicos,N,0,Independent,N,atenciousuari@ias.scs.es
917000817,Hospital Psiquiatric,"Calle Doctor Castany, S/N",972182512,Salt,Girona,Cataluña,17190,593,C14,Hospitales de salud mental y tratamiento de toxicomanías,8,Otras Entidades u o rganismos Públicos,N,0,Independent,N,atenciousuari@ias.scs.es
118000554,Hospital de Baza,"Carretera Murcia, Km. 1,6 S/N",958031303,Baza,Granada,Andalucía,18800,117,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
118000563,Hospital San Rafael,Calle San Juan de Dios 19-23,958275700,Granada,Granada,Andalucía,18001,166,C11,Hospitales Generales,20,Privados,N,0,Independent,N,centrosanrafael@sjd.es
118004282,Hospital Vithas Granada,Avenida Santa María de La Alhambra S/N,958001450,Granada,Granada,Andalucía,18008,77,C11,Hospitales Generales,20,Privados,N,0,Independent,N,torresm@vithas.es
118000553,Hospital de La Inmaculada Concepción,Calle Doctor Alejandro Otero 8,958187712,Granada,Granada,Andalucía,18004,95,C11,Hospitales Generales,20,Privados,N,0,Independent,N,informacion@hospital-inmaculada.es
118004562,Hospital Universitario Clínico San Cecilio,Avenida De La Investigación S/N,958021702,Granada,Granada,Andalucía,18016,543,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,180177,Hospital Universitario Clínico San Cecilio,N,Not Available
118004856,Hospital  de Neurotraumatología y Rehabilitación del H.U. Virgen de Las Nieves,Carretera De Jaén S/N,958020000,Granada,Granada,Andalucía,18013,241,C12,Hospitales especializados,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,180188,Hospital Universitario Virgen de Las Nieves,N,Not Available
118000560,Hospital Materno-Infantil del H.U. Virgen de Las Nieves,Avenida De Las Fuerzas Armadas 2,000000000,Granada,Granada,Andalucía,18014,230,C12,Hospitales especializados,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,180188,Hospital Universitario Virgen de Las Nieves,N,jlsalce@hvn.sas.junta-andalucia.es
118000556,Hospital Universitario Virgen de Las Nieves,Avenida De Las Fuerzas Armadas 2,958000203,Granada,Granada,Andalucía,18014,844,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,180188,Hospital Universitario Virgen de Las Nieves,N,direcciongerencia.hvn.sspa@juntadeandalu
118004857,Hospital Doctor Oloriz,Avenida Dr. Oloriz 16,958023000,Granada,Granada,Andalucía,18012,50,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,180188,Hospital Universitario Virgen de Las Nieves,N,Not Available
118001566,Hospital de Alta Resolución de  Guadix,Avenida Mariana Pineda S/N,958699136,Guadix,Granada,Andalucía,18500,50,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,180188,Hospital Universitario Virgen de Las Nieves,N,sugerencias@ephpo.es
118004203,Hospital de Alta Resolución de Loja,Avenida Tierno Galván S/N,958338150,Loja,Granada,Andalucía,18300,22,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,180177,Hospital Universitario Clínico San Cecilio,N,Not Available
118000562,Hospital Santa Ana,Avenida Enrique Martin Cuevas S/N,958038200,Motril,Granada,Andalucía,18600,184,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,francisco.perez.saez.sspa@juntadeandaluc
819000193,Clínica Doctor Sanz Vázquez,Paseo Doctor Fernández Iparraguirre 6,949227200,Guadalajara,Guadalajara,Castilla-La Mancha,19001,40,C11,Hospitales Generales,20,Privados,N,0,Independent,N,daniel.fernandezsalinas@grupohla.com
819000025,Clínica La Antigua,Calle Constitución 18,949223600,Guadalajara,Guadalajara,Castilla-La Mancha,19003,63,C11,Hospitales Generales,20,Privados,N,0,Independent,N,Not Available
819000010,Instituto de Enfermedades Neurológicas de Castilla-La Mancha,Paseo De La Estación 2,949211500,Guadalajara,Guadalajara,Castilla-La Mancha,19004,147,C13,Hospitales de media y larga estancia,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
819000009,Hospital Universitario de Guadalajara,Avenida Donantes de Sangre S/N,949209200,Guadalajara,Guadalajara,Castilla-La Mancha,19002,496,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
819000180,U.R.R. de Enfermos Psíquicos Alcohete,Paseo Conde Romanones S/N S/N,949291136,Yebes,Guadalajara,Castilla-La Mancha,19141,165,C14,Hospitales de salud mental y tratamiento de toxicomanías,4,Otros Centros o Establecimientos Públicos de Dependencia Autonómica,N,0,Independent,N,mvpchaves@jccm.es
1620000015,Hospital Psiquiátrico San Juan de Dios,Calle Gesalibar ( Au/Ba ) 14,943793078;943793900,Arrasate/Mondragón,Guipúzcoa,País Vasco,20509,276,C14,Hospitales de salud mental y tratamiento de toxicomanías,22,Organizaciones No Gubernamentales,N,0,Independent,N,mondragon.hospital@hsjd.es
1620000014,Hospital Aita Menni,Calle Gesalibar 15,943794411,Arrasate/Mondragón,Guipúzcoa,País Vasco,20509,437,C14,Hospitales de salud mental y tratamiento de toxicomanías,22,Organizaciones No Gubernamentales,N,0,Independent,N,hospital@aita-menni.org
1620000007,Organización Sanitaria Integrada Debagoiena,"Avenida Nafarroa, Avenida/Etorbidea 16",943035300,Arrasate/Mondragón,Guipúzcoa,País Vasco,20500,95,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,direccion.haltodeba@osakidetza.eus
1620000013,Hospital San Juan de Dios Donostia,Calle Camino San Juan de Dios 12,943460033,Donostia/San Sebastián,Guipúzcoa,País Vasco,20009,81,C14,Hospitales de salud mental y tratamiento de toxicomanías,22,Organizaciones No Gubernamentales,N,0,Independent,N,ss.hospital@hsjd.es
1620000001,Mutualia Clínica Pakea,Paseo Arriola 26,902540250,Donostia/San Sebastián,Guipúzcoa,País Vasco,20018,19,C12,Hospitales especializados,21,Mútuas Colaboradoras con La Seguridad Social,N,0,Independent,N,clinicapakea@mutualia.es
1620000011,Fundación Onkologikoa Fundazioa,Paseo Doctor Begiristain 121,943328000,Donostia/San Sebastián,Guipúzcoa,País Vasco,20014,26,C12,Hospitales especializados,20,Privados,N,0,Independent,N,kvicario@onkologikoa.org
1620000002,Policlínica Gipuzkoa,Paseo Miramón 174,943309550,Donostia/San Sebastián,Guipúzcoa,País Vasco,20014,149,C11,Hospitales Generales,20,Privados,N,0,Independent,N,sonia.roussel@quironsalud.es
1620000012,Hospital Ricardo Bermingham,"Camino Los Pinos, Camino/Bidea 35",943317102,Donostia/San Sebastián,Guipúzcoa,País Vasco,20018,123,C13,Hospitales de media y larga estancia,20,Privados,N,0,Independent,N,elena.fernandez@matiafundazioa.net
1620000010,Hospital Universitario Donostia,"Paseo Doctor Begiristain, Paseo/Pasealekua 109",943007060,Donostia/San Sebastián,Guipúzcoa,País Vasco,20014,1034,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,osid.gerentzia@osakidetza.eus
1620000005,Hospital Bidasoa (Osi Bidasoa),"Calle Finca Zubieta, Barrio Mendelu S/N",943007703,Hondarribia,Guipúzcoa,País Vasco,20280,96,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,osintegradabidasoa@osakidetza.net
1620000006,Hospital de Mendaro (Osi Bajo Deba),Calle Mendarozabal S/N,943032800,Mendaro,Guipúzcoa,País Vasco,20850,111,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,secretariadireccion.osidebabarrena@osakidetza.eus
1620000008,"Clínica Santa María de La Asunción (Inviza, S. A.)",Calle Carretera Izaskun 9,943697000,Tolosa,Guipúzcoa,País Vasco,20400,120,C11,Hospitales Generales,20,Privados,N,0,Independent,N,info@clinicadelaasuncion.com
1620000016,"Sanatorio Usurbil, S. L.","Barrio Urdaiaga, Barrio/Auzoa 48",0;943361124,Usurbil,Guipúzcoa,País Vasco,20170,80,C14,Hospitales de salud mental y tratamiento de toxicomanías,20,Privados,N,0,Independent,N,aolano@sanatoriodeusurbil.com
1620000009,Hospital de Zumarraga (Osi Goierri - Alto Urola),"Grupo Argixao, Grupo/Taldea S/N",943035000;943035027,Zumárraga,Guipúzcoa,País Vasco,20700,118,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,secretaria.hospitalzumarraga@osakidetza.eus
121001251,Hospital Quironsalud Huelva,Calle Punta Umbría 8,959242100,Huelva,Huelva,Andalucía,21002,56,C11,Hospitales Generales,20,Privados,N,0,Independent,N,correo@hospitalcostadelaluz.com
